iter	Passed	Remaining
252	668	1973
253	669	1965
254	671	1962
255	673	1956
256	676	1954
257	677	1948
258	678	1941
259	679	1935
260	680	1928
261	682	1922
262	683	1915
263	685	1910
264	687	1905
265	689	1901
266	690	1896
267	691	1889
268	693	1884
269	694	1877
270	695	1871
271	696	1865
272	698	1860
273	701	1857
274	702	1852
275	705	1849
276	706	1843
277	707	1837
278	708	1831
279	710	1825
280	711	1820
281	712	1815
282	715	1811
283	716	1805
284	718	1802
285	720	1797
286	721	1792
287	722	1786
288	723	1780
289	725	1775
290	726	1771
291	729	1767
292	730	1763
293	733	1760
294	734	1755
295	736	1750
296	737	1745
297	738	1740
298	739	1734
299	741	1729
300	742	1724
301	744	1720
302	746	1716
303	748	1714
304	749	1708
305	751	1703
306	752	1697
307	753	1692
308	754	1687
309	756	1683
310	758	1679
311	760	1676
312	762	1672
313	763	1667
314	764	1662
315	765	1656
316	766	1651
317	767	1646
318	769	1642
319	770	1638
320	772	1634
321	774	1630
322	776	1626
323	777	1621
324	778	1617
325	779	1611
326	780	1606
327	781	1601
328	782	1596
329	784	1592
330	786	1589
331	788	1586
332	790	1582
333	791	1577
334	792	1573
335	793	1568
336	794	1563
337	795	1558
338	797	1554
339	798	1549
340	799	1545
341	802	1543
342	803	1539
343	804	1535
344	806	1530
345	807	1526
346	808	1521
347	809	1517
348	810	1512
349	811	1507
350	813	1503
351	816	1503
352	817	1499
353	819	1494
354	820	1491
355	821	1486
356	822	1482
357	823	1477
358	825	1473
359	826	1468
360	827	1464
361	829	1461
362	830	1457
363	832	1453
364	833	1449
365	834	1444
366	835	1440
367	836	1436
368	837	1431
369	838	1427
370	839	1423
371	840	1419
372	842	1415
373	843	1412
374	845	1408
375	846	1404
376	847	1400
377	848	1396
378	849	1391
379	850	1387
380	851	1383
381	852	1379
382	853	1375
383	855	1371
384	856	1367
385	857	1363
386	858	1360
387	860	1356
388	861	1352
389	862	1348
390	863	1344
391	864	1340
392	865	1336
393	866	1332
394	867	1328
395	868	1324
396	869	1320
397	870	1317
398	872	1313
399	873	1310
400	874	1306
401	876	1303
402	877	1299
403	878	1295
404	879	1291
405	880	1288
406	881	1284
407	882	1280
408	883	1276
409	884	1272
410	885	1269
411	886	1265
412	887	1262
413	889	1259
414	890	1255
415	891	1251
416	892	1248
417	893	1244
418	894	1240
419	896	1237
420	896	1233
421	898	1230
422	899	1226
423	900	1222
424	900	1218
425	902	1215
426	903	1212
427	904	1209
428	905	1205
429	907	1202
430	908	1198
431	909	1195
432	910	1192
433	911	1188
434	912	1185
435	913	1181
436	914	1178
437	915	1174
438	916	1171
439	918	1168
440	919	1166
441	921	1162
442	922	1159
443	923	1156
444	924	1152
445	925	1149
446	926	1146
447	927	1143
448	928	1139
449	929	1136
450	931	1133
451	932	1130
452	933	1127
453	934	1124
454	936	1121
